###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57439.294393  17.337  0.159   422   67 o  0   1.81  94.91624 -24.69652  3778.31   990.62 5.12 3.42  -6.9 -0.527 18.24 19.09 02a57439o0158o
57439.308017  17.140  0.115   506   58 o  0   1.29  94.91624 -24.69652  1183.28 10130.86 4.40 3.93 -54.1 -0.432 18.22 19.03 02a57439o0184o
57439.310095  17.599  0.231   332   77 o  0   1.15  94.91624 -24.69652  3497.45   402.92 5.09 3.20  -7.9 -0.527 18.26 19.07 02a57439o0188o
57439.324301  17.771  0.211   283   60 o  0   1.16  94.91624 -24.69652  2384.91  9556.85 4.06 3.68 -58.9 -0.460 18.22 18.99 02a57439o0215o
57439.340026  17.377  0.139   407   56 o  0   1.45  94.91624 -24.69652  2277.14  9771.54 4.08 3.71 -53.0 -0.445 18.20 18.94 02a57439o0245o
57446.298723  17.547  0.091   348   32 o  0   2.84  94.91624 -24.69652  3662.30  1303.05 4.39 3.31  -9.4 -0.512 19.06 20.66 02a57446o0096o
57446.312716  17.972  0.124   235   29 o  0   4.09  94.91624 -24.69652  1044.88 10441.47 4.12 3.90 -58.3 -0.446 19.09 20.68 02a57446o0124o
57446.314733  17.854  0.112   262   29 o  0   3.11  94.91624 -24.69652  3365.23   710.91 4.56 3.28 -13.2 -0.495 19.12 20.74 02a57446o0128o
57446.329256  17.254  0.067   456   30 o  0   2.05  94.91624 -24.69652  2265.54  9865.92 3.89 3.70 -57.2 -0.444 19.08 20.68 02a57446o0157o
57446.331246  17.523  0.098   356   35 o  0   2.03  94.91624 -24.69652  4518.30   135.47 4.69 3.16  -6.9 -0.490 19.12 20.75 02a57446o0161o
57446.345802  17.063  0.047   543   25 o  0   2.13  94.91624 -24.69652  2272.01  9767.37 3.88 3.67 -43.5 -0.443 19.10 20.70 02a57446o0190o
57447.293862  17.611  0.094   328   31 o  0   3.05  94.91624 -24.69652  3824.09  1437.81 4.83 3.40  -9.1 -0.497 19.14 20.84 02a57447o0187o
57447.310553  17.334  0.077   423   32 o  0   2.80  94.91624 -24.69652  3544.33   847.91 4.97 3.50 -11.1 -0.494 19.17 20.89 02a57447o0220o
57447.325054  17.095  0.052   527   28 o  0   2.93  94.91624 -24.69652  2426.32 10023.82 4.18 3.86 -51.4 -0.421 19.11 20.83 02a57447o0249o
57447.327056  17.172  0.064   491   32 o  0   4.15  94.91624 -24.69652  4697.57   272.54 5.14 3.55  -5.9 -0.509 19.16 20.88 02a57447o0253o
57447.341612  16.983  0.046   585   27 o  0   2.51  94.91624 -24.69652  2276.18  9765.64 4.10 3.74 -51.7 -0.437 19.10 20.78 02a57447o0282o
57453.284680  18.390  0.148   160   24 c  0   4.92  94.91624 -24.69652  3681.49  1231.70 4.86 3.78 -11.6 -0.509 19.44 21.42 02a57453o0135c
57453.299582  18.285  0.132   176   23 c  0   4.20  94.91624 -24.69652  1063.29 10395.37 4.40 3.94 -47.4 -0.407 19.40 21.36 02a57453o0165c
57453.301573  18.940  0.230    96   22 c  0   4.49  94.91624 -24.69652  3402.09   642.30 4.93 3.69 -12.4 -0.495 19.48 21.45 02a57453o0169c
57453.315875  17.955  0.087   239   21 c  0   2.86  94.91624 -24.69652  2286.43  9819.85 4.06 3.90 -43.1 -0.413 19.43 21.40 02a57453o0198c
57453.317861  18.524  0.182   141   26 c  0   4.43  94.91624 -24.69652  4537.14    68.78 5.06 3.67  -7.0 -0.508 19.50 21.47 02a57453o0202c
57453.332066  17.652  0.063   316   20 c  0   4.15  94.91624 -24.69652  2274.80  9759.44 4.06 3.89 -43.4 -0.407 19.44 21.39 02a57453o0231c
57457.273605  18.781  0.223   112   25 c  0  10.13  94.91624 -24.69652  3732.61  1180.48 5.31 3.88  -8.8 -0.495 19.42 21.48 02a57457o0136c
57457.290173  18.393  0.148   159   24 c  0   4.61  94.91624 -24.69652  1139.90 10336.43 4.58 4.03 -47.1 -0.406 19.42 21.45 02a57457o0169c
57457.292164  18.827  0.241   107   26 c  0   6.16  94.91624 -24.69652  3455.97   587.71 5.47 3.86 -12.4 -0.451 19.47 21.54 02a57457o0173c
57457.330466  17.385  0.055   404   22 c  0   5.06  94.91624 -24.69652  2277.09  9759.56 4.28 3.85 -48.8 -0.429 19.44 21.48 02a57457o0237c
57461.259929  19.228  3.415    74  252 c  0   1.01  94.91624 -24.69652  3681.80  1274.41 4.70 3.79 -14.9 -0.548 17.10 18.18 02a57461o0102c
57461.275342  19.790  4.824    44  212 c  0   0.83  94.91624 -24.69652  1063.48 10432.53 4.28 4.07 -43.4 -0.448 16.68 17.67 02a57461o0133c
57461.277306  18.522  0.216   142   31 c  0   3.37  94.91624 -24.69652  3402.26   681.57 5.04 3.74 -12.8 -0.500 19.04 20.61 02a57461o0137c
57461.292501  18.324  1.192   170  202 c  0   1.18  94.91624 -24.69652  2286.62  9857.88 4.09 3.92 -54.1 -0.427 16.71 17.68 02a57461o0168c
